,Date_Time,E,I,D,H,Avg,Std,Avg_w,Std_w
1771,2018-07-07 21:30:00,5.0809299999999995,43,5,1,5.26365,0.5364499999999999,4.559328333333333,0.5216016666666663
1772,2018-07-07 22:00:00,5.266780000000002,44,5,1,5.56185,0.0017499999999999183,5.1738550000000005,0.09292500000000103
1773,2018-07-07 22:30:00,4.56415,45,5,1,5.22425,0.29535,4.915465000000001,0.35131500000000093
1774,2018-07-07 23:00:00,4.554973333333334,46,5,1,4.80805,0.07814999999999994,4.559561666666667,0.004588333333332972
1775,2018-07-07 23:30:00,3.2263333333333333,47,5,1,4.91785,0.1880499999999996,3.8906533333333337,0.6643200000000002
1776,2018-07-08 00:00:00,3.639989999999999,0,6,1,5.339449999999999,0.4381499999999998,3.433161666666666,0.20682833333333295
1777,2018-07-08 00:30:00,4.125256666666666,1,6,1,5.483699999999999,0.18619999999999992,3.8826233333333326,0.24263333333333348
1778,2018-07-08 01:00:00,4.399206666666667,2,6,1,5.2241,0.018899999999999917,4.262231666666667,0.1369750000000005
1779,2018-07-08 01:30:00,3.9877299999999996,3,6,1,4.94525,0.22764999999999969,4.193468333333334,0.2057383333333338
1780,2018-07-08 02:00:00,4.2618833333333335,4,6,1,5.19815,0.52915,4.124806666666666,0.13707666666666696
1781,2018-07-08 02:30:00,4.174253333333334,5,6,1,5.45805,0.2886500000000001,4.218068333333333,0.04381499999999994
1782,2018-07-08 03:00:00,4.1869733333333325,6,6,1,5.282649999999999,0.22325000000000017,4.1806133333333335,0.006359999999999477
1783,2018-07-08 03:30:00,4.05723,7,6,1,5.03255,0.018650000000000055,4.122101666666666,0.06487166666666644
1784,2018-07-08 04:00:00,3.999316666666666,8,6,1,5.038749999999999,0.2759499999999999,4.028273333333333,0.02895666666666674
1785,2018-07-08 04:30:00,4.0666899999999995,9,6,1,5.374,0.6078999999999999,4.033003333333333,0.03368666666666664
1786,2018-07-08 05:00:00,4.33675,10,6,1,5.3378499999999995,0.01914999999999978,4.20172,0.13503000000000043
1787,2018-07-08 05:30:00,3.8371166666666663,11,6,1,5.30845,0.31594999999999995,4.0869333333333335,0.24981666666666702
1788,2018-07-08 06:00:00,3.6842866666666665,12,6,1,4.9731499999999995,0.03204999999999991,3.7607016666666664,0.0764149999999999
1789,2018-07-08 06:30:00,3.6343666666666667,13,6,1,5.213899999999999,0.42510000000000003,3.659326666666667,0.02495999999999987
1790,2018-07-08 07:00:00,3.5420666666666665,14,6,1,5.2918,0.5646,3.588216666666667,0.046150000000000135
1791,2018-07-08 07:30:00,3.505896666666666,15,6,1,5.3491,0.18659999999999988,3.5239816666666663,0.01808500000000013
1792,2018-07-08 08:00:00,3.9854333333333334,16,6,1,5.18565,0.18604999999999983,3.745665,0.23976833333333358
1793,2018-07-08 08:30:00,4.108056666666666,17,6,1,4.8498,0.13779999999999992,4.046745,0.06131166666666643
1794,2018-07-08 09:00:00,4.205556666666667,18,6,1,5.16065,0.5642499999999999,4.156806666666666,0.048750000000000515
1795,2018-07-08 09:30:00,4.034356666666667,19,6,1,5.283149999999999,0.41975000000000007,4.119956666666667,0.08560000000000034
1796,2018-07-08 10:00:00,3.652316666666666,20,6,1,5.223649999999999,0.26275000000000004,3.8433366666666666,0.1910200000000002
1797,2018-07-08 10:30:00,5.152589999999998,21,6,1,4.996599999999999,0.021800000000000264,4.402453333333332,0.750136666666666
1798,2018-07-08 11:00:00,6.193756666666666,22,6,1,4.773999999999999,0.09120000000000017,5.673173333333333,0.5205833333333341
1799,2018-07-08 11:30:00,6.463613333333333,23,6,1,4.3108,0.36999999999999966,6.328685,0.13492833333333332
1800,2018-07-08 12:00:00,6.20585,24,6,1,4.49685,0.7051499999999999,6.334731666666666,0.12888166666666656
1801,2018-07-08 12:30:00,5.54435,25,6,1,4.34655,1.1651499999999997,5.8751,0.3307500000000001
1802,2018-07-08 13:00:00,5.416420000000001,26,6,1,4.001799999999999,0.8021999999999996,5.480385,0.06396499999999916
1803,2018-07-08 13:30:00,5.20009,27,6,1,4.2189499999999995,0.7013499999999995,5.308255000000001,0.10816500000000051
1804,2018-07-08 14:00:00,5.630656666666666,28,6,1,4.5126,0.4466000000000001,5.415373333333333,0.21528333333333283
1805,2018-07-08 14:30:00,5.252260000000001,29,6,1,4.6959,1.1341999999999999,5.441458333333333,0.1891983333333327
1806,2018-07-08 15:00:00,5.448543333333332,30,6,1,4.517799999999999,1.0535999999999999,5.3504016666666665,0.0981416666666659
1807,2018-07-08 15:30:00,5.731563333333333,31,6,1,4.98685,0.054850000000000065,5.590053333333333,0.14151000000000025
1808,2018-07-08 16:00:00,5.365333333333333,32,6,1,5.2749999999999995,0.32730000000000015,5.548448333333333,0.18311499999999992
1809,2018-07-08 16:30:00,4.793533333333332,33,6,1,5.51755,0.3070499999999998,5.079433333333332,0.2859000000000007
1810,2018-07-08 17:00:00,4.977003333333333,34,6,1,5.4021,0.3982000000000001,4.885268333333332,0.09173500000000079
1811,2018-07-08 17:30:00,5.079989999999998,35,6,1,5.0752,0.07359999999999989,5.0284966666666655,0.05149333333333228
1812,2018-07-08 18:00:00,5.682766666666667,36,6,1,4.988899999999999,0.11079999999999979,5.381378333333332,0.3013883333333345
1813,2018-07-08 18:30:00,5.687993333333333,37,6,1,5.3773,0.48039999999999994,5.68538,0.0026133333333331343
1814,2018-07-08 19:00:00,5.885026666666667,38,6,1,5.5313,0.09379999999999988,5.78651,0.09851666666666681
